language_name,lat,lon
Naaguja,-28.136,114.764
Pindiini,-29.466,127.766
Wangkatja,-29.866,122.699
Wilyara,-26.8,120.416
Gula,-27.99,122.702
Marawa,-28.772,125.346
Waljen,-29.231,122.723
Wangkatha,-29.778,121.918
Widi,-28.827,116.722
Badimaya,-28.593,117.185
Kuwarra,-28.182,120.345
Nangadadjara / Nyanganyatjara,-28.684,124.803
Nyaki Nyaki / Njaki Njaki,-32.391,118.755
Gurduwanga,-25.669,117.547
Djalgandi,-27.646,122.973
Mudalga,-27.752,123.655
Bunggura,-27.286,130.463
Wawula,-25.01,121.12
Kalarku,-32.11,121.488
Ngadawanga,-26.402,119.58
Tjupan,-27.118,120.566
Nakako,-27.223,128.511
Mantjintjarra,-27.254,126.085
Mangu,-25.58,119.775
Nanadjara,-26.064,123.488
Ngaanyatjarra,-25.8,127.353
Wajarri,-26.1,116.993
Ngadjumaya / Ngadju,-32.325,123.741
Ngaatjatjarra,-25.081,128.542
Ngarla,-23.8,117.607
Wirdinya,-23.834,120.471
Kaalamaya,-30.264,119.013
Nyiyaparli,-22.924,120.196
Manyjilyjarra,-22.574,124.906
Kartujarra,-23.283,122.063
Kiyajarra,-23.51,125.953
BANYJIMA,-22.743,118.373
Putijarra,-24.295,122.615
Palyku,-22.239,120.161
Dargudi,-23.069,121.046
Nyamal,-21.22,120.029
Ibarga,-21.242,122.309
Nungara,-30.289,120.595
Widagari,-21.328,120.639
NYANGUMARTA,-20.479,122.029
Warnman,-22.235,123.052
Karajarri,-18.817,122.323
Mangala,-19.64,123.968
Walmajarri,-19.467,126.151
Yulparija,-21.184,124.955
Kukatja,-20.489,127.024
Bunara,-20.709,129.046
Maduwongga,-30.174,121.514
Nhugarn,-25.805,115.476
Ngurlipartu,-21.243,122.328
Walyirli,-20.059,121.896
Fraser Range,-32.175,123.474
Bundjuwanga,-21.088,119.397
Pantikura,-22.558,118.504
Mijaranypa,-23.0,118.145
Ju'una,-22.001,119.455
Yinhawangka,-24.456,119.078
Tjeraridjal,-30.432,123.783
WESTERN DESERT LANGUAGE,-26.337,127.108
Wirdjaragandja,-26.305,131.911
Njangadjadjara,-30.682,131.492
Kurajarra,-22.91,122.363
Martu Wangka,-23.351,123.668
Wangkajunga,-20.576,126.503
Juwaliny,-20.644,124.699
Pililuna,-19.667,127.6
Murunitja,-30.302,126.031
Nyardi,-18.623,125.276
Tjapanmay,-30.964,117.054
Nhanhagardi,-29.218,115.275
Witjaari,-31.756,116.21
Natingero,-29.374,118.367
Mandara,-23.364,119.281
Cheangwa language,-27.499,116.402
Norseman,-32.242,121.763
Mirniny,-31.293,128.153
Pintupi,-23.37,127.582
Antekerrepenhe,-22.754,137.621
Kaytetye,-21.02,134.07
Alyawarr,-21.948,135.534
Wakirti Warlpiri,-20.672,133.095
WARLPIRI,-20.434,131.052
Wakaya,-20.153,136.169
Warlmanpa,-19.25,132.871
Warumungu,-19.603,134.505
Wambaya,-18.173,135.431
Wirangu,-31.536,133.522
GURINDJI,-17.462,129.808
Jingulu,-17.351,133.702
Gunindirri,-17.669,136.845
MUDBURRA,-17.44,131.91
Gudanji,-16.981,135.256
NGARINYMAN,-16.59,130.255
Akarre,-22.843,135.363
Lower Arrernte,-25.955,135.393
Ngalia,-29.198,129.48
Eastern Gurindji,-17.749,130.406
Baranha,-22.081,148.199
Eastern Mudburra,-17.557,131.996
Eastern Ngarinyman,-16.556,130.512
Karranga,-16.215,131.361
Kartangarurru,-19.25,130.481
Kuwarranyji,-16.721,132.337
Western Mudburra,-16.767,131.455
Wurlayi,-16.342,129.648
Ngardilypa,-19.623,129.736
